bedrooms,square_feet,location_index,price
4,4331,0.04010919141248248,117320
5,3851,0.8670314961224486,200213
3,1155,0.5786754085723934,134417
5,3855,0.43861541918959046,157411
5,2147,0.7252576604151365,168995
2,4004,0.48666894142470285,148706
3,3735,0.8734232380816606,189692
3,2663,0.9007018640112585,181700
3,926,0.4217209268734554,116432
5,3977,0.2768277972350516,142452
4,3856,0.5923503285933622,167795
3,1403,0.912363345616691,170266
5,4249,0.21066218900566658,138556
2,2728,0.6229665835634828,149576
4,1813,0.6315602200925206,151286
2,850,0.733113022415281,141811
4,3900,0.1315676851272598,122156
5,4333,0.7158249646820886,189912
1,4167,0.909032520665641,187573
4,4168,0.17968310887024197,129648
2,3626,0.23754332492387764,120014
5,2230,0.9713950940416396,194439
4,2592,0.18097695270948977,114017
1,3661,0.8543850933695791,177048
1,2436,0.4922778564480348,128587
3,4276,0.24723107440317704,132483
3,4217,0.8707499012725114,194244
2,2445,0.4453052550026655,128980
4,3267,0.5148173539296902,154151
4,2005,0.3592333693997657,125973
3,3830,0.5929508514349274,162595
4,3672,0.16352387258502277,123072
4,3872,0.3910815366517607,147828
1,2654,0.9694123223352875,178481
3,1366,0.25813343270112754,104473
5,3218,0.6567366645412922,172853
3,1735,0.3251900642246949,114869
5,2734,0.7734731256866006,179687
1,3508,0.13087366071834983,103167
2,4302,0.9698210450785447,200002
4,3816,0.45378954138363925,153538
1,2132,0.23605046334646396,99925
4,4008,0.07349674733001266,117429
2,1001,0.16975790508754074,86985
2,4307,0.5197739485560177,155047
1,3160,0.3370031764312863,120300
2,916,0.8288833658826095,152048
5,1736,0.43088752366180594,135448
2,1374,0.2487142725876299,98611
4,3091,0.61714498660403,162624
4,1336,0.7067772168854458,154037
4,2425,0.16704190790094986,110954
4,2922,0.16761921628831766,115981
5,1185,0.03667142693354297,90517
3,4081,0.7364020150656405,179450
1,1274,0.6638045276218051,134120
4,1217,0.4746308757498139,129633
2,3194,0.8441704489691971,176357
4,4400,0.8056701529500532,194567
2,3487,0.5853543643967521,153405
2,1738,0.8682712805132586,164207
4,1754,0.20584121003676825,108124
5,1675,0.11191961939772788,102941
2,1562,0.2697496115169896,102594
2,2002,0.05708685608931485,85728
4,2005,0.531169528001032,143166
2,1463,0.9366056922949615,168290
2,824,0.03934354066850965,72174
4,2790,0.1221099140100268,110110
4,2003,0.4521990282834353,135249
1,1509,0.9338750175279049,163477
5,4372,0.3161561049767505,150335
5,2679,0.5072348086883924,152513
2,1984,0.0415728590503921,83997
5,3024,0.14834320096208886,120074
2,1084,0.9866301229588469,169503
1,862,0.9651186964360455,160131
4,1802,0.004939980934409616,88513
4,1461,0.951811785423239,179791
4,3513,0.6391199378155004,169041
5,3003,0.8679182945200221,191821
1,2292,0.4547398556338591,123393
5,3920,0.5155960285792502,165759
5,1766,0.4888465802569202,141544
1,1648,0.6668642575461043,138166
1,1907,0.1396512547563129,88035
1,4232,0.029973589872677953,100317
1,1488,0.3079299415911909,100672
4,947,0.7046807627366467,149938
3,1141,0.20185345212294836,96595
3,3323,0.6734324333249173,165573
1,1886,0.9699120461072704,170851
3,2524,0.09390071578941839,99630
3,2183,0.6726021182251263,154090
1,3408,0.44375021930457115,133455
3,1126,0.8681422543775054,163074
5,2592,0.1771497894473859,118634
2,2559,0.6926259522261645,154852
2,4012,0.8381152896481102,183931
1,1789,0.9446142194740232,167351
4,3062,0.6832480282896458,168944
1,3282,0.4971747640084273,137537
4,1751,0.6178472402012138,149294
2,1522,0.8689049844787182,162110
1,4189,0.5706097466388297,153950
5,2879,0.03038705969683686,106828
3,3517,0.9309486955069778,193264
4,3132,0.6895267510315611,170272
3,4176,0.6765133857772465,174411
3,1228,0.21567515239771717,98847
1,2300,0.6588854702326572,143888
3,1085,0.3938644056541585,115236
5,4015,0.6512329770414921,180273
3,4295,0.10659303030799072,118609
1,3890,0.657845304603036,159684
5,2865,0.9994137257706666,203591
2,1568,0.04821203886055603,80501
3,3437,0.9771741842213173,197087
1,2194,0.4069079607228706,117630
2,4046,0.8707534503372591,187535
2,3857,0.7823854840582735,176808
4,993,0.5670162609866678,136631
5,3349,0.7384492092513265,182334
3,1787,0.8785155613013479,170721
1,1936,0.404140321651033,114774
4,2961,0.3270331615632387,132313
5,4093,0.6675933855635847,182689
4,2501,0.8078459419412586,175794
5,1746,0.7622851347766157,168688
5,1630,0.7978136488586345,171081
3,2720,0.435583314812933,135758
5,4135,0.8178342161750216,198133
4,3772,0.12020905537060844,119740
5,854,0.5444890979608495,137988
3,1599,0.0057586604981215705,81565
3,1577,0.3245858299002703,113228
4,2281,0.3664615348713979,129456
